Dataset,Model,Enhancement,Optimizer,LR,BatchSize,Time/Epoch (sec),Total Time (sec),#Epoch(total),#Epoch(saved),Accuracy(total),Train Accuracy,NumParam,Accuracy_1,Accuracy_2,Accuracy_3,Accuracy_4,Accuracy_5,Accuracy_6,Accuracy_7,Accuracy_8,Accuracy_9,Accuracy_10
cifar,MLP,,K-FAC,1e-05,32,57.52174711227417,575.2174711227417,10,5,55.57,79.01,1647946,62.9,64.4,42.7,35.2,46.8,43.0,64.8,64.8,71.5,59.6
mnist,CNN,,K-FAC,1e-05,32,11.307461720246534,146.99700236320496,13,8,98.93,99.65,44426,99.28571428571429,99.73568281938326,99.2248062015504,99.20792079207921,98.77800407331975,99.10313901345292,98.74739039665971,99.61089494163424,98.870636550308,96.63032705649158
cifar,MLP,dropout,K-FAC,0.0001,32,203.87419411114283,2854.2387175559998,14,9,51.97,65.7875,1647946,59.3,60.1,40.6,33.1,50.0,36.0,67.3,53.8,67.6,51.9
fashion_mnist,CNN,no_pool,K-FAC,0.01,32,16.176982508765327,145.59284257888794,9,4,75.78,77.238,54100,71.4,87.8,72.4,77.3,50.4,89.3,41.4,90.5,86.1,91.2
fashion_mnist,MLP,dropout,LBFGS,0.0001,50000,7.624488096237183,762.4488096237183,100,100,16.93,17.156,476490,0.0,0.0,0.0,0.0,0.0,0.0,94.9,0.0,10.1,64.3
fashion_mnist,CNN,,LBFGS,0.1,50000,18.93162191576428,681.538388967514,36,31,89.22,91.64,44426,84.3,97.5,84.5,88.9,83.7,96.9,67.6,96.2,97.2,95.4
fashion_mnist,CNN,,K-FAC,0.01,32,8.984948436419169,53.909690618515015,6,1,83.25,0.0,44426,72.3,95.3,83.9,78.2,83.2,89.2,55.8,96.9,92.5,85.2
mnist,CNN,dropout,LBFGS,0.1,40000,19.22464958826701,692.0873851776123,36,31,98.79,98.96,44426,99.6938775510204,99.73568281938326,98.83720930232558,98.7128712871287,99.28716904276986,98.4304932735426,98.32985386221294,98.5408560311284,98.25462012320328,97.9187314172448
cifar,CNN,,SGD,0.0001,32,13.475316298007964,1347.5316298007965,100,97,57.67,60.9575,62006,53.7,70.6,48.1,47.2,34.8,40.8,70.1,66.4,78.8,66.2
mnist,CNN,dropout,K-FAC,0.1,32,13.57313315073649,81.43879890441895,6,1,95.25,94.898,44426,98.6734693877551,99.11894273127753,92.44186046511628,96.03960396039604,93.48268839103869,92.48878923766816,97.28601252609603,94.3579766536965,92.09445585215606,95.8374628344896
cifar,MLP,dropout,LBFGS,0.001,50000,8.24618107233292,321.6010618209839,39,34,9.34,9.5375,1647946,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.5,0.0
mnist,CNN,no_pool,LBFGS,0.01,40000,25.16380294561386,2516.380294561386,100,98,97.25,97.736,54100,98.36734693877551,99.03083700440529,97.57751937984496,97.82178217821782,96.94501018329939,95.85201793721973,97.18162839248434,97.17898832684826,96.30390143737166,95.8374628344896
fashion_mnist,CNN,"dropout, no_pool",LBFGS,0.001,50000,25.01133372534567,1675.7593595981598,67,62,10.15,10.098,54100,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.5,0.0,0.0
fashion_mnist,CNN,"dropout, no_pool",SGD,0.01,32,5.437438616752624,543.7438616752625,100,97,10.0,10.008,54100,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cifar,MLP,,K-FAC,0.001,32,200.7234359004281,2207.957794904709,11,6,26.04,27.5225,1647946,56.5,52.6,0.3,0.0,0.0,1.3,85.3,14.6,29.2,20.6
